autor_comentario,autor_endereco,comentario_corpo,comentario_data,comentario_titulo
CleverMarinho,"Guaratuba, PR",Lugar muito bonito todo mundo precisa ir ao menos uma vez.,abr de 2017 • Casais,Obra que impressiona
Laura A,27 contribuições,"Lugar pitoresco, que a mão do homem construiu! Conheci essa Serra na decada de 70... chão batido e muito barro nas chuvadas de inverno, sem falar na neve que congelava as cachoeiras que desciam Serra a baixo! Voltar e ver este acervo tão bem cuidado foi uma grata surpresa! Mais uma aventura à ser acrescida na minha bagagem, pois mesmo com o asfalto e a proteção em toda a sua extensão, o friozinho na barriga aconteceu, por conta da neblina.... e meu medo de altura ... Ufaaaaa",abr de 2017,Um roteiro de viagem imperdível!
Rodrigo V,"Cantagalo, RJ","Localizada  no sul do Estado de SC, cortada pela SC 390, localizada no Município de Lauro Muller com mais de 1400 metros de altitude, a Serra do Rio do Rastro é um lugar que todos devem conhecer, é linda, imperdível.",jul de 2016 • Casais,A serra mais linda que ja vi.
Magda B,"Lajeado, RS","Passando pela Serra do Rio do Rastro é possível ver montanhas, mata nativa, cascatas de água límpida, uma natureza exuberante, que nos convida a meditar sobre nossa vida, nosso planeta, nossas responsabilidades. Imperdível! ",abr de 2017 • Amigos,Um caminho que todos deveriam conhecer
Niki S,29 contribuições,"A vista da serra é linda, porém é muito estreita e com fluxo contínuo de caminhões! Acaba sendo um trajeto perigoso, mas fiz belas fotos do trajeto.",abr de 2017 • Casais,Muitos caminhões!
Cido55,"Tatuí, SP","A subida é de tirar o fôlego! Tem um mirante no alto da serra que permite uma fantástica vista ""aérea"" do cenário. Vale a pena. Confira! ",jan de 2017 • Família,Deslumbrante!
DeisiPH,"Porto Alegre, RS","Lugar espetacular...uma subida e tanto. Existem vários pontos para parada ao longo da subida da serra, onde pode descer do carro e tirar lindas fotos da paisagem, que é maravilhosa!",abr de 2017 • Amigos,Serra do Rio do Rastro
Diego M. Val,"Porto Alegre, RS","São 284 curvas em 12 km de serra, muitas em 180°! Desci a serra, a paisagem é Incrível, vale muito a experiência, porém é necessário muita atenção do motorista, fui em um feriado e o movimento era intenso, lembrando que a estrada é muito apertada.",abr de 2017 • Casais,Indescritível!
JOYCEMARA,"Fortaleza, CE",Soh não foi melhor pois as nuvens baixaram no mirante. Mas maravilhoso e dica .... verifique ps freios. Para filmar descendo acho q sai melhor q subindo,abr de 2017 • Casais,Emocionante
Rocarioca,"Brasília, DF","Quando você começa a descer da um frio na barriga. Estreita, mão dupla e com tráfego de caminhoes, mas vale muito a pena. Deveriam proibir o tráfego  dos caminhões.  Aí sim valeria a pena. Tem alguns acostamentos  para pararmos e observarmos a vista, mas nem sempre é possível parar",abr de 2017 • Casais,Muito lindo
Philipe Cunha,"Belo Horizonte, MG",Local lindo e muito bem preservados,abr de 2017 • Amigos,Simplesmente lindo
furlanvaldir,"Diamante do Norte, PR","Taí uma das atrações imprdíveis em uma viagem para o Sul do País,uma das melhores que deveria ser classificada como uma das tres melhores do brasil ao meu ver.",abr de 2017 • Família,maravilha
Lola90sp,"São Paulo, SP","Nós subimos a Serra em um dia nublado, então havia bastante neblina no alto. É um lugar um tanto perigoso por conta das curvas acentuadas (presenciamos até uma batida por conta disso), então é preciso DIRIGIR COM CALMA E CUIDADO! Todo mundo deveria passar por esse lugar um dia... é único!",mai de 2016 • Casais,Sensacional!
Helen,"Londrina, PR","Fazer o per urso da Serra do Rio do Rastro foi o motivo de nossa viagem à Serra Catarinense, e valeu cada segundo da viagem! A descida e subida da Serra proporcionou uma experiência inesquecível e imperdível! Nós curtimos cada detalhe do cenário: as plantas, as nascentes de água, as quedas d'Água, as rochas magníficas, que nos fazem sentir tão pequenos diante de tanta grandeza...e até a engenhosidade humana em construir esta estrada...tudo foi motivo pra uma viagem que foi uma experiência ímpar!",abr de 2017 • Casais,Serra Catarinense 
Andre Tenereli,"Curitiba, PR",A estrada de serra mais linda que conheci. Pena que não consegui ver em dia de sol. Mas vou voltar !!!,mai de 2016 • Família,Inesquecível 
Maurício Cazumbá,"São Paulo, SP","As curvas da estrada mais parecem uma serpente descendo as paredes da serra, lindo local que deve entrar no seu roteiro com certeza! Não deixe de fora!",jan de 2017 • Casais,Fantástico!
Hudson O,"São José, SC","Um lugar muito bonito, com uma vista espetacular, muito bom pela manhã, quando não tiver nuvens para visualizar o nascer do sol.",mai de 2016 • Família,"Excelente local, paradisiaco!!!"
Everton da Silva,"Balneário Barra do Sul, SC","Já passei por ela várias vezes, mas toda vez que volto fico deslumbrado! O único empecilho é se tiver neblina, daí a vista fica prejudicada. Local com mirante amplo e vários mirantes na própria serra. Vale a pena descer e subir a serra logo em seguida, ou vice-versa! Prepare a câmera e o coração. O mirante tem ótima estrutura, mas os banheiros estavam muito sujos! Não deixe de tratar e tirar fotos com os quatis que ficam no local. São muito domesticados e não tem medo dos visitantes.",abr de 2017 • Família,Não morra sem antes visitar a Serra do 12!
Anselmo A,"Curitiba, PR",A estrada da Serra do Rio do Rastro liga o litoral à região serrana. Fica entre os municípios de Lauro Müller e Bom Jardim da Serra. A estrada é muito bonita e a vista do mirante é espetacular. No meio da serra há refugios onde é possível parar para apreciar a paisagem e tirar fotos. Muito bom para fazer o trajeto de moto. Tome cuidado com as curvas e com a inclinação da pista.,abr de 2017 • A sós,Deslumbrante!!
RMG,"Araras, SP","Um dos lugares mais bonitos que fui na vida. Eu recomendo subir a serra ao invés de descer pois você sobe menos preocupado e na maior parte do tempo no beiral, facilitando parar para fotos. ",abr de 2017 • Casais,Lindo lugar
dparensa,"Curitiba, Brasil","A vista da serra é sem dúvida uma paisagem inesquecível, faz nos sentir pequenos diante da natureza exuberante!",mar de 2017 • Casais,Serra do Rio do Rastro
Diego M,"Erval Velho, SC","Local muito lindo, podemos ver a mao do homem que trabalhou as formas da natureza sem agressão ambiental extrema... ",set de 2016 • A sós,Passeio
Ronney,7 contribuições,"É um ótimo destino, natureza exuberante. Realizei o percurso em subida. Ao final, aproveite também o ótimo restaurante.",fev de 2017,Sensacional!
Cristiano N,132 contribuições,"Lugar maravilhoso. Uma beleza natural sem precedentes. É uma passeio largamente recomendado a motociclistas, no entanto, é ótimo pra se fazer de carro também. As paisagens são deslumbrantes e o mirante tem um chocolate quente que é uma delícia, talvez por ser tão frio o chocolate se torna melhor. A gastronomia da região é muito boa e se come bem em qualquer lugar.",jul de 2016 • Amigos,Um lugar indescritivelmente lindo.
2016emerson,"Fartura, SP","Muito lindo!! Super recomendo para descer bem devagar apreciando tudo em voltando, tirando fotos  e parando nos mirantes para ver a linda vista. Tendo uma oportunidade voltarei novamente apreciar a paisagem que  Deus criou.",mar de 2017 • Casais,"""Lindo!!"""
Oziel S,"Cuiabá, MT",Ótimo lugar pra fazer um drift....😀😀😀,mar de 2017 • Amigos,Subir e descer a Serra
Joel S,"Curitiba, PR","Subindo ou descendo, o que se vê é um visual deslumbrante, paisagem criada com muito amor por Deus. Aproveite os pontos de parada, não vale a pena subir e descer com pressa, tem que ir aproveitando cada milímetro da estrada. Lugar para se visitar sempre que possível.",mai de 2016 • Família,Serra mais incrível do Brasil
bete b,"Caxias Do Sul, RS","Lugar lindo. Rende ótimas fotos, e a descida da serra com curvas que tornam o passeio emocionante e uma natureza exuberante. Adorei conhecer. ",dez de 2016 • Família,Férias 
Drodlic,110 contribuições,O lugar é um dos mais lindos que já visitei.,mar de 2017 • Casais,INACREDITÁVEL
Débora C,"Caxias Do Sul, RS","Vale a pena passar lá várias vezes, subindo, descendo, parando no Mirante ou só observando os graxains que fazem companhia a Polícia Rodoviária, a Serra é linda, instigante e grandiosa, uma verdadeira conjunção entre a obra de Deus e dos homens.",nov de 2016 • Amigos,Incrível
Marcos L,6 contribuições,"A vista é maravilhosa, porém a presença de caminhões de grande porte assusta um pouco devido às curvas muito fechadas, principalmente quando há neblina ou chuva.",mar de 2017,Vista maravilhosa
Elaine Fedalto,"Campo Largo, PR","Nem tem como descrever tanta beleza natural, tem que conferir com os próprios olhos. Consegui sentir a presença de Deus naquela natureza perfeita. Super recomendo.",mar de 2017 • Amigos,Espetacular
mdmsilva,"Belo Horizonte, MG",Não vá se você tem medo de sair de casa ou de descobrir paisagens. ,mar de 2017 • A sós,Espetacular
aureafernandes,"Brasília, DF","Lindo, incrível, fascinante! a vista do mirante é belíssima, mas nada se compara a descer e depois subir a serra! muitas quedas d'agua, muitas flores, ar puro... inesquecível!",mar de 2017 • Casais,Incrível!!!!!
Bolico76sc,"Araquari, SC",É um dos locais que tive o privilégio de conhecer fiquei encantado o legal é subir a serra ir pela BR 101 e pegar a SC em Tubarão e percorrer o trecho até chegar ao pé dá serra não esquecer de levar casaco pois lá em cima o vento sopra forte para quem gosta de bichos tem os Quatis se quiser dar comida leve bananas ou frutas,abr de 2016 • Amigos,Natureza Milenar
Marisa,"Brasília, DF","Para quem é fã de road-trips, a Serra do Rio do Rastro é passeio obrigatório! Um espetáculo encravado em meio à natureza exuberante...",jan de 2017 • Família,"Simplesmente espetacular!! Uma dica?... de preferência desça a serra, e não suba..."
Q2935BUtom,"Paulínia, SP","Muito legal , vale cada minuto que vc esta la . ",mar de 2017 • Amigos,Incrivel e Imperdivel
fogassa,"Urussanga, SC","Só para quem já pilotou uma moto em todas as curvas da serra  irá entender esse post! Beleza, adrenalina e orgulho de ser em SC .",mar de 2017,melhor estrada do mundo
Rafael M,"Porto Alegre, RS",Excelente passeio! 256 curvas em 13 km! Aproveite e vá de uma vez.,mar de 2017,Indiscritível 
Katleen B,"São Bento do Sul, SC","Você ira se surpreender com a beleza dessa serra, ao longo do trajeto muitos mirantes para vislumbrar esse encontro com a natureza. É um passeio inesquecível.",mar de 2017 • Casais,Um passeio incrível 
andre s,"Mirassol, SP","Para quem nunca foi é assim,,,saimos do litoral altitude zero, temperatura 29 graus. Percorremos 15 km subindo a serra sinuosa, temperatura cai a 15 graus e a altitude vai a 1421m. Um espetáculo natural. e um chocolate quente no Mensageiro da Montanha.....recomendo",mar de 2017 • Família,muito legal o contato com a natureza
Vanessa F,"Belo Horizonte, MG","A estrada da serra do rio do rastro é sensacional. Curvas sinuosas, relevo e vegetação belíssimas fazem dela a mais bonita do Brasil. ",mar de 2017 • Casais,Deslumbrante!
rzgarrio,São Paulo,"As paisagens são maravilhosas,mas deve-se ter muita cautela com motoristas imprudentes que, mesmo com o espaço apertado nas duas faixas, insistem em realizar ultrapassagens. Vá com a manutenção em dia, principalmente quanto ao líquido se arrefecimento. É muito comum encontrar com pessoas paradas devido a problemas por superaquecimento.",mar de 2017 • Casais,Linda demais
Helyton,"Santo Antônio da Platina, PR","Tive a sorte de pegar um dia de céu limpo. Pousada simples, mas bem estruturada. Estradas de acesso não muito boas. Acesso por Tubarão. ",mar de 2017 • Casais,Excelente.
Claudia C,70 contribuições,A visita a  estrada é sensacional. A cada curva uma linda surpresa. Faço o percurso com calma pois requer muita atenção.,ago de 2016 • Casais,Sensacional
Márcia T,"Criciúma, SC","Está pela região ? Ótimo, então vc precisa conhecer!",nov de 2016,Imperdível!
Diogo B,"Rio de Janeiro, RJ","A subida é bem perigosa, tem que ter muito cuidado pois as curvas são bem fechadas e tem muitas carretas subindo e descendo. Lá em cima é um visual deslumbrante que compensa. ",mar de 2017 • Casais,Que vista!
Rosane B,"Foz do Iguaçu, PR","Ao passar pela serra do Rio do Rastro voce sente vária emoçoes. Se o ceu nao estiver encoberto, voce tera visao de um cenário espetacular, porem muito medo do que voce vai encontrar na proxima curva e do precipicio ao seu lado.",abr de 2016 • Família,Maravilhosa e assustadora
Jaime M,"Araranguá, SC","Simplismente espetacular. Dispensa comentarios. O trajeto pode ser feito de carro, bicicleta ou a pé. Sao 18kms de subidas partindo do distrito de guatá. Local seguro e sem problemas de assaltos para quem optar por ir de bike. Recomendo sempre levar uma jaqueta pois geralmente é frio ao chegar no mirante que fica a 1420 metros de altura.",jan de 2017 • Família,Espetacular
Tharles Balen Reis,"Distrito de Lisboa, Portugal","A primeira impressão talvez medo depois respeito, admiração e surpresa de como a natureza pode ser tão linda ",mar de 2017 • Família,Único 
marlon_sun,Brasília,Quem estiver passeando de carro pela serra catarinense é imperdível essa atração. A vista é sensacional do mirante e também descendo a serra. Essa é a dica. A vista descendo a serra do rio do rastro é mais bonita no trajeto descendo a serra. Uma das estradas mais bonitas do Brasil.,mar de 2017 • Casais,Uma das estradas mais bonitas do Brasil
